target,filter,AUROC,AUPRC,balanced_accuracy,precision,recall,n_molecules,n_parse_failures,n_positive_label,positive_rate,n_flagged,,filter_description
fluorescence_340_450,PAINS,0.499869485773949,0.166872055092425,0.499869485773949,0,0,13795,0,2302,0.166872055092425,3,,"Baell & Holloway 2010 -- pan-assay interference compounds, includes known optical/fluorescence-interference chemotypes."
fluorescence_340_450,REOS_proxy_ZINC,0.499956495257983,0.166872055092425,0.499956495257983,0,0,13795,0,2302,0.166872055092425,1,,"RDKit ZINC unwanted-functionality filters, used as a published-method proxy for REOS (Walters & Murcko 2002); original REOS SMARTS are not fully public."
fluorescence_340_450,BRENK_negative_control,0.512991476018758,0.17114573611366,0.512991476018758,0.197424892703863,0.139878366637706,13795,0,2302,0.166872055092425,1631,,"Brenk et al. 2008 -- reactive/toxic/unstable group alerts, mechanistically unrelated to optical interference. Negative control."
fluorescence_340_450,PAINS_chromophore_subset,0.5,0.166872055092425,0.5,0,13795,0,2302,0.166872055092425,0,0,,
fluorescence_340_450,PAINS_remainder,0.499869485773949,0.166872055092425,0.499869485773949,0,0,13795,0,2302,0.166872055092425,3,,"Remaining 439 PAINS rules (reactive/promiscuous-binder motifs with no specific chromophore relevance), reported for comparison against PAINS_chromophore_subset."
fluorescence_480plus,PAINS,0.499782008429007,0.0023921710764769,0.499782008429007,0,0,13795,0,33,0.0023921710764769,6,,"Baell & Holloway 2010 -- pan-assay interference compounds, includes known optical/fluorescence-interference chemotypes."
fluorescence_480plus,REOS_proxy_ZINC,0.499963668071501,0.0023921710764769,0.499963668071501,0,0,13795,0,33,0.0023921710764769,1,,"RDKit ZINC unwanted-functionality filters, used as a published-method proxy for REOS (Walters & Murcko 2002); original REOS SMARTS are not fully public."
fluorescence_480plus,BRENK_negative_control,0.504364235289973,0.0024146133202529,0.504364235289973,0.0025773195876288,0.121212121212121,13795,0,33,0.0023921710764769,1552,,"Brenk et al. 2008 -- reactive/toxic/unstable group alerts, mechanistically unrelated to optical interference. Negative control."
fluorescence_480plus,PAINS_chromophore_subset,0.5,0.0023921710764769,0.5,0,13795,0,33,0.0023921710764769,0,0,,
fluorescence_480plus,PAINS_remainder,0.499782008429007,0.0023921710764769,0.499782008429007,0,0,13795,0,33,0.0023921710764769,6,,"Remaining 439 PAINS rules (reactive/promiscuous-binder motifs with no specific chromophore relevance), reported for comparison against PAINS_chromophore_subset."
transmittance_340,PAINS,0.501774363528061,0.0578364371060647,0.50177436352806,0.428571428571429,0.0038560411311053,13794,0,778,0.0564013339132956,7,,"Baell & Holloway 2010 -- pan-assay interference compounds, includes known optical/fluorescence-interference chemotypes."
transmittance_340,REOS_proxy_ZINC,0.5,0.0564013339132956,0.5,0,13794,0,778,0.0564013339132956,0,0,,
transmittance_340,BRENK_negative_control,0.507599012012899,0.0573153030422023,0.507599012012899,0.0637319316688567,0.124678663239075,13794,0,778,0.0564013339132956,1522,,"Brenk et al. 2008 -- reactive/toxic/unstable group alerts, mechanistically unrelated to optical interference. Negative control."
transmittance_340,PAINS_chromophore_subset,0.5,0.0564013339132956,0.5,0,13794,0,778,0.0564013339132956,0,0,,
transmittance_340,PAINS_remainder,0.501774363528061,0.0578364371060647,0.50177436352806,0.428571428571429,0.0038560411311053,13794,0,778,0.0564013339132956,7,,"Remaining 439 PAINS rules (reactive/promiscuous-binder motifs with no specific chromophore relevance), reported for comparison against PAINS_chromophore_subset."
transmittance_450plus,PAINS,0.502131952722988,0.0151366589743095,0.502131952722988,0.1,0.0049261083743842,13794,0,203,0.0147165434246773,10,,"Baell & Holloway 2010 -- pan-assay interference compounds, includes known optical/fluorescence-interference chemotypes."
transmittance_450plus,REOS_proxy_ZINC,0.499963210948422,0.0147165434246773,0.499963210948422,0,0,13794,0,203,0.0147165434246773,1,,"RDKit ZINC unwanted-functionality filters, used as a published-method proxy for REOS (Walters & Murcko 2002); original REOS SMARTS are not fully public."
transmittance_450plus,BRENK_negative_control,0.494335029737515,0.0145689796049386,0.494335029737515,0.0132187706543291,0.0985221674876847,13794,0,203,0.0147165434246773,1513,,"Brenk et al. 2008 -- reactive/toxic/unstable group alerts, mechanistically unrelated to optical interference. Negative control."
transmittance_450plus,PAINS_chromophore_subset,0.5,0.0147165434246773,0.5,0,13794,0,203,0.0147165434246773,0,0,,
transmittance_450plus,PAINS_remainder,0.502131952722988,0.0151366589743095,0.502131952722988,0.1,0.0049261083743842,13794,0,203,0.0147165434246773,10,,"Remaining 439 PAINS rules (reactive/promiscuous-binder motifs with no specific chromophore relevance), reported for comparison against PAINS_chromophore_subset."
